0.529,0.293,-0.236,0.095,0.537,0.442,0.104,1.107,1.003,0.478,0,-0.478,0.48,0.275,-0.205,0.086,1.114,1.028,0.093,0.245,0.152,0.078,0.251,0.173,0.091,0.513,0.422,0.104,0.472,0.368,0.089,0.238,0.149,0.11
0.51,0.272,-0.238,0.084,0.616,0.532,0.089,0.729,0.64,0.624,0,-0.624,0.626,0.395,-0.231,0.087,2.798,2.711,0.12,0.256,0.136,0.107,0.444,0.337,0.115,0.625,0.51,0.099,0.322,0.223,0.084,0.251,0.167,0.107
0.552,0.285,-0.267,0.095,1.363,1.268,0.118,0.392,0.274,0.663,0,-0.663,0.665,0.377,-0.288,0.076,2.08,2.004,0.086,0.259,0.173,0.083,0.222,0.139,0.086,1.224,1.138,0.086,0.302,0.216,0.083,0.199,0.116,0.128
0.455,0.243,-0.212,0.084,1.262,1.178,0.078,0.687,0.609,0.698,0,-0.698,0.7,0.543,-0.157,0.068,0.78,0.712,0.084,0.177,0.093,0.081,0.237,0.156,0.089,0.47,0.381,0.086,0.222,0.136,0.084,0.297,0.213,0.094
0.612,0.361,-0.251,0.079,0.58,0.501,0.094,0.45,0.356,0.687,0,-0.687,0.69,0.427,-0.263,0.082,0.819,0.737,0.099,0.258,0.159,0.079,0.251,0.172,0.091,0.801,0.71,0.097,0.218,0.121,0.096,0.32,0.224,0.094
0.568,0.347,-0.221,0.095,0.933,0.838,0.099,0.456,0.357,0.756,0,-0.756,0.758,0.551,-0.207,0.079,0.609,0.53,0.094,0.176,0.082,0.084,0.444,0.36,0.104,1.018,0.914,0.089,0.16,0.071,0.089,0.272,0.183,0.089
0.536,0.358,-0.178,0.082,1.002,0.92,0.083,0.535,0.452,0.606,0,-0.606,0.608,0.395,-0.213,0.074,0.537,0.463,0.105,0.254,0.149,0.089,0.245,0.156,0.09,0.642,0.552,0.097,0.275,0.178,0.091,0.191,0.1,0.107
0.586,0.392,-0.194,0.103,0.415,0.312,0.087,0.489,0.402,0.596,0,-0.596,0.598,0.44,-0.158,0.084,0.446,0.362,0.082,0.146,0.064,0.086,0.253,0.167,0.104,0.534,0.43,0.089,0.194,0.105,0.097,0.287,0.19,0.092
0.661,0.501,-0.16,0.085,0.397,0.312,0.081,0.391,0.31,0.653,0,-0.653,0.655,0.469,-0.186,0.084,0.554,0.47,0.076,0.14,0.064,0.081,0.248,0.167,0.092,0.452,0.36,0.076,0.101,0.025,0.094,0.295,0.201,0.086
0.506,0.366,-0.14,0.09,0.502,0.412,0.091,0.476,0.385,0.908,0,-0.908,0.91,0.747,-0.163,0.087,0.493,0.406,0.076,0.145,0.069,0.084,0.256,0.172,0.1,0.467,0.367,0.076,0.132,0.056,0.092,0.31,0.218,0.097
