10,5,0.333,0.231,-0.102,0.149,0.503,0.354,0.086,0.696,0.61,0.634,0.12,-0.514,0.523,0.331,-0.192,0.146,0.466,0.32,0.092,0.213,0.121,0.076,0.565,0.489,0.084,0.353,0.269,0.102,0.345,0.243,0.092,0.263,0.171,0.131
10,7,0.545,0.455,-0.09,0.15,0.352,0.202,0.089,1.917,1.828,0.62,0.124,-0.496,0.549,0.37,-0.179,0.157,0.52,0.363,0.092,0.234,0.142,0.115,0.638,0.523,0.094,0.938,0.844,0.105,0.353,0.248,0.113,1.042,0.929,0.157
10,8,0.384,0.318,-0.066,0.135,0.45,0.315,0.094,2.603,2.509,0.487,0.142,-0.345,0.377,0.204,-0.173,0.149,1.195,1.046,0.095,0.17,0.075,0.107,0.294,0.187,0.086,0.283,0.197,0.097,0.311,0.214,0.095,0.506,0.411,0.121
10,9,0.408,0.328,-0.08,0.159,0.371,0.212,0.094,0.763,0.669,0.484,0.092,-0.392,0.449,0.279,-0.17,0.139,0.871,0.732,0.084,0.157,0.073,0.086,0.21,0.124,0.095,0.7,0.605,0.118,0.211,0.093,0.097,0.175,0.078,0.139
10,10,0.385,0.299,-0.086,0.14,0.513,0.373,0.086,0.701,0.615,0.505,0.289,-0.216,0.248,0.156,-0.092,0.124,0.346,0.222,0.081,0.161,0.08,0.092,0.428,0.336,0.087,0.356,0.269,0.102,0.291,0.189,0.111,0.227,0.116,0.147
13,2,0.319,0.186,-0.133,0.102,0.402,0.3,0.077,0.571,0.494,1.026,0,-1.026,1.028,0.867,-0.161,0.088,0.96,0.872,0.111,0.243,0.132,0.087,0.701,0.614,0.068,0.348,0.28,0.095,0.216,0.121,0.082,0.525,0.443,0.084
13,3,0.27,0.137,-0.133,0.114,0.353,0.239,0.081,0.653,0.572,0.4,0,-0.4,0.402,0.263,-0.139,0.096,0.489,0.393,0.119,0.23,0.111,0.107,0.284,0.177,0.07,0.254,0.184,0.108,0.228,0.12,0.094,0.231,0.137,0.087
13,4,0.245,0.121,-0.124,0.1,0.269,0.169,0.066,1.133,1.067,0.389,0,-0.389,0.391,0.242,-0.149,0.112,0.313,0.201,0.139,0.686,0.547,0.095,0.359,0.264,0.082,0.486,0.404,0.097,0.286,0.189,0.095,0.253,0.158,0.084
13,5,0.283,0.155,-0.128,0.103,0.347,0.244,0.071,0.589,0.518,0.68,0,-0.68,0.682,0.549,-0.133,0.085,0.584,0.499,0.124,0.214,0.09,0.105,0.839,0.734,0.065,0.389,0.324,0.106,0.225,0.119,0.084,0.26,0.176,0.084
13,7,0.238,0.097,-0.141,0.12,0.31,0.19,0.07,0.761,0.691,0.712,0,-0.712,0.714,0.582,-0.132,0.082,0.561,0.479,0.121,0.193,0.072,0.094,0.219,0.125,0.073,0.382,0.309,0.102,0.209,0.107,0.11,0.17,0.06,0.097
13,8,0.235,0.107,-0.128,0.104,0.304,0.2,0.071,0.588,0.517,0.558,0,-0.558,0.56,0.42,-0.14,0.098,0.449,0.351,0.11,0.191,0.081,0.105,0.235,0.13,0.075,0.573,0.498,0.1,0.191,0.091,0.092,0.205,0.113,0.08
13,9,0.229,0.097,-0.132,0.113,0.28,0.167,0.066,0.44,0.374,0.553,0,-0.553,0.555,0.417,-0.138,0.111,0.349,0.238,0.147,0.108,-0.039,0.129,0.344,0.215,0.071,0.555,0.484,0.103,0.227,0.124,0.106,0.149,0.043,0.097
13,10,0.258,0.139,-0.119,0.101,0.35,0.249,0.071,0.401,0.33,0.585,0,-0.585,0.587,0.457,-0.13,0.098,0.755,0.657,0.177,0.113,-0.064,0.135,0.241,0.106,0.076,0.641,0.565,0.106,0.207,0.101,0.089,0.162,0.073,0.099
16,2,0.322,0.181,-0.141,0.112,0.327,0.215,0.087,0.689,0.602,1.025,0.094,-0.931,0.897,0.682,-0.215,0.084,1.06,0.976,0.138,0.097,-0.041,0.13,0.431,0.301,0.15,0.715,0.565,0.11,0.418,0.308,0.119,0.404,0.285,0.087
16,3,0.354,0.189,-0.165,0.137,0.313,0.176,0.087,1.29,1.203,0.754,0.104,-0.65,0.658,0.439,-0.219,0.089,0.699,0.61,0.135,0.05,-0.085,0.125,0.296,0.171,0.092,0.944,0.852,0.1,0.359,0.259,0.116,0.391,0.275,0.1
16,4,0.307,0.184,-0.123,0.108,0.343,0.235,0.076,1.595,1.519,0.811,0.061,-0.75,0.761,0.551,-0.21,0.114,0.803,0.689,0.133,0.053,-0.08,0.119,0.311,0.192,0.095,0.683,0.588,0.111,0.266,0.155,0.11,0.364,0.254,0.095
16,5,0.488,0.329,-0.159,0.122,1.834,1.712,0.097,0.387,0.29,0.925,0.156,-0.769,0.738,0.494,-0.244,0.092,1.029,0.937,0.141,0.082,-0.059,0.119,0.277,0.158,0.095,0.621,0.526,0.113,0.23,0.117,0.113,0.388,0.275,0.134
16,7,0.305,0.126,-0.179,0.147,0.29,0.143,0.116,0.388,0.272,0.984,0.129,-0.855,0.869,0.695,-0.174,0.081,0.519,0.438,0.127,0.06,-0.067,0.114,0.298,0.184,0.14,0.733,0.593,0.1,0.297,0.197,0.1,0.24,0.14,0.11
16,8,0.805,0.726,-0.079,0.098,0.215,0.117,0.084,0.576,0.492,0.714,0.129,-0.585,0.593,0.403,-0.19,0.081,0.716,0.635,0.149,0.074,-0.075,0.14,0.314,0.174,0.092,0.369,0.277,0.103,0.395,0.292,0.095,0.228,0.133,0.094
16,9,0.509,0.35,-0.159,0.128,0.26,0.132,0.095,0.619,0.524,0.567,0.073,-0.494,0.47,0.323,-0.147,0.081,0.648,0.567,0.105,0.063,-0.042,0.129,0.446,0.317,0.091,0.498,0.407,0.098,0.209,0.111,0.097,0.569,0.472,0.097
16,10,0.288,0.142,-0.146,0.135,0.224,0.089,0.089,0.447,0.358,0.652,0.092,-0.56,0.532,0.371,-0.161,0.086,0.768,0.682,0.127,0.063,-0.064,0.13,0.28,0.15,0.094,0.709,0.615,0.097,0.996,0.899,0.082,0.338,0.256,0.085
19,2,0.188,0.099,-0.089,0.115,0.491,0.376,0.086,1.052,0.966,1.66,-0.078,-1.738,1.763,1.437,-0.326,0.067,0.737,0.67,0.132,0.081,-0.051,0.131,0.468,0.337,0.105,1.069,0.964,0.094,0.459,0.365,0.113,1.581,1.468,0.089
19,3,0.306,0.169,-0.137,0.09,0.512,0.422,0.097,2.125,2.028,1.643,-0.069,-1.712,1.689,1.439,-0.25,0.08,0.703,0.623,0.125,0.07,-0.055,0.118,0.419,0.301,0.096,0.773,0.677,0.11,0.601,0.491,0.104,1.318,1.214,0.092
19,4,0.366,0.187,-0.179,0.077,0.543,0.466,0.076,2.076,2,1.501,-0.093,-1.594,1.582,1.315,-0.267,0.089,0.621,0.532,0.102,0.055,-0.047,0.118,0.388,0.27,0.096,1.238,1.142,0.105,0.838,0.733,0.12,0.974,0.854,0.12
19,5,0.317,0.178,-0.139,0.078,0.506,0.428,0.063,2.891,2.828,1.28,-0.098,-1.378,1.408,1.113,-0.295,0.102,0.75,0.648,0.097,0.055,-0.042,0.11,0.349,0.239,0.102,0.865,0.763,0.092,0.429,0.337,0.13,0.91,0.78,0.099
19,7,0.309,0.101,-0.208,0.112,0.712,0.6,0.104,2.718,2.614,0.577,-0.137,-0.714,0.702,0.42,-0.282,0.096,0.621,0.525,0.107,0.06,-0.047,0.11,0.334,0.224,0.102,0.621,0.519,0.123,0.447,0.324,0.122,0.498,0.376,0.102
19,8,0.262,0.115,-0.147,0.09,0.363,0.273,0.096,1.211,1.115,1.492,-0.08,-1.572,1.551,1.297,-0.254,0.132,0.442,0.31,0.131,0.083,-0.048,0.113,0.311,0.198,0.125,0.737,0.612,0.094,0.477,0.383,0.12,0.9,0.78,0.08
19,9,0.194,0.068,-0.126,0.079,0.326,0.247,0.12,1.233,1.113,1.857,-0.096,-1.953,1.97,1.681,-0.289,0.091,0.513,0.422,0.116,0.047,-0.069,0.142,0.389,0.247,0.135,0.773,0.638,0.115,0.666,0.551,0.104,0.469,0.365,0.086
19,10,0.262,0.138,-0.124,0.093,0.44,0.347,0.11,2.06,1.95,0.996,-0.043,-1.039,1.014,0.781,-0.233,0.099,0.494,0.395,0.1,0.053,-0.047,0.115,0.338,0.223,0.126,0.995,0.869,0.094,0.724,0.63,0.107,0.637,0.53,0.101
22,2,0.761,0.415,-0.346,0.101,1.377,1.276,0.081,1.072,0.991,1.051,0.138,-0.913,0.928,0.623,-0.305,0.086,3.277,3.191,0.117,0.174,0.057,0.112,1.55,1.438,0.11,1.211,1.101,0.122,0.613,0.491,0.102,0.717,0.615,0.081
